dataset,seed,condition,perturbed_modality,perturbation_kind,retention_probability,evaluated_modality,evaluated_modality_is_perturbed,requested_K,realized_K,size_gini,ARI_vs_p1,NMI_vs_p1,VI_nats_vs_p1,coassignment_agreement_rand_vs_p1,learned_block_knn15_jaccard_mean_vs_p1,learned_block_knn15_jaccard_p10_vs_p1,learned_block_knn15_jaccard_median_vs_p1,block_l2_norm_mean,block_variance_trace,relative_abs_dot_contribution
D11,0,RNA_thin_0.25,RNA,binomial_thinning,0.25,ATAC,False,40,40,0.574125,0.15310236068787794,0.35150390881519017,3.8805406878168514,0.8868484242121061,0.03453950756057202,0.0,0.0,5.686217784881592,23.52981185913086,0.6982469056804653
D11,0,RNA_thin_0.5,RNA,binomial_thinning,0.5,RNA,True,40,40,0.650925,0.22742399374968375,0.39942221006714895,3.4880214842915036,0.889152076038019,0.057070728738195,0.0,0.034482758620689655,5.672923564910889,31.03656005859375,0.326409725020866
D11,0,RNA_thin_0.5,RNA,binomial_thinning,0.5,ATAC,False,40,40,0.650925,0.22742399374968375,0.39942221006714895,3.4880214842915036,0.889152076038019,0.03560227867251855,0.0,0.0,5.675670623779297,22.974517822265625,0.6735902749791339
D11,0,RNA_thin_0.75,RNA,binomial_thinning,0.75,RNA,True,40,40,0.599925,0.30735865982256616,0.4342010356229647,3.355526479932305,0.9053501750875438,0.08200294736278914,0.0,0.034482758620689655,5.672429084777832,29.590660095214844,0.3686379280242303
D11,0,RNA_thin_0.75,RNA,binomial_thinning,0.75,ATAC,False,40,40,0.599925,0.30735865982256616,0.4342010356229647,3.355526479932305,0.9053501750875438,0.03559141839336742,0.0,0.0,5.670520305633545,23.613676071166992,0.6313620719757697
D11,0,baseline_counts_p1,none,baseline_count_matrix,1.0,RNA,False,40,39,0.657025641025641,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.670645713806152,29.75323486328125,0.3744391413633152
D11,0,baseline_counts_p1,none,baseline_count_matrix,1.0,ATAC,False,40,39,0.657025641025641,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.667149543762207,22.247314453125,0.6255608586366848
D5,0,ADT_cell_permutation,ADT,cell_permutation,,RNA,False,40,39,0.5988205128205129,0.1754586958805669,0.4327779439164011,3.2045103322057495,0.8576333166583292,1.0,1.0,1.0,5.6703972816467285,29.595020294189453,0.5130290366971928
D5,0,ADT_cell_permutation,ADT,cell_permutation,,ADT,True,40,39,0.5988205128205129,0.1754586958805669,0.4327779439164011,3.2045103322057495,0.8576333166583292,0.00433415435139573,0.0,0.0,5.704001426696777,18.57092666625977,0.4869709633028071
D5,0,ADT_thin_0.25,ADT,binomial_thinning,0.25,RNA,False,40,39,0.7185128205128205,0.2803055205044395,0.5292891196170517,2.4879350693815296,0.8531630815407704,1.0,1.0,1.0,5.6703972816467285,29.595020294189453,0.4806059534430814
D5,0,ADT_thin_0.25,ADT,binomial_thinning,0.25,ADT,True,40,39,0.7185128205128205,0.2803055205044395,0.5292891196170517,2.4879350693815296,0.8531630815407704,0.06770491528644189,0.0,0.034482758620689655,5.708942413330078,16.63441276550293,0.5193940465569186
D5,0,ADT_thin_0.5,ADT,binomial_thinning,0.5,RNA,False,40,40,0.654375,0.3581108463269539,0.5609972448761021,2.4296646364018772,0.8842661330665332,1.0,1.0,1.0,5.6703972816467285,29.595020294189453,0.4962807784070416
D5,0,ADT_thin_0.5,ADT,binomial_thinning,0.5,ADT,True,40,40,0.654375,0.3581108463269539,0.5609972448761021,2.4296646364018772,0.8842661330665332,0.13671348363480804,0.034482758620689655,0.1111111111111111,5.711552619934082,17.655132293701172,0.5037192215929583
D5,0,ADT_thin_0.75,ADT,binomial_thinning,0.75,RNA,False,40,39,0.7262307692307692,0.37668009998833046,0.5632205840164612,2.2771781834785965,0.8671515757878939,1.0,1.0,1.0,5.6703972816467285,29.595020294189453,0.5130540815296004
D5,0,ADT_thin_0.75,ADT,binomial_thinning,0.75,ADT,True,40,39,0.7262307692307692,0.37668009998833046,0.5632205840164612,2.2771781834785965,0.8671515757878939,0.26985608539455563,0.1111111111111111,0.25,5.705538272857666,18.65489196777344,0.4869459184703995
D5,0,RNA_cell_permutation,RNA,cell_permutation,,RNA,True,40,40,0.5579,0.0866131601601049,0.29222774085772385,4.0838719193454995,0.8486868434217109,0.004033251231527094,0.0,0.0,5.67266321182251,29.599952697753903,0.5195328480025865
D5,0,RNA_cell_permutation,RNA,cell_permutation,,ADT,False,40,40,0.5579,0.0866131601601049,0.29222774085772385,4.0838719193454995,0.8486868434217109,1.0,1.0,1.0,5.700603008270264,18.88391494750977,0.4804671519974134
D5,0,RNA_thin_0.25,RNA,binomial_thinning,0.25,RNA,True,40,40,0.733425,0.20186474909071775,0.4655932074375592,2.7925823293509913,0.8287698849424713,0.04508910102430776,0.0,0.034482758620689655,5.66227912902832,31.416797637939453,0.379301798610635
D5,0,RNA_thin_0.25,RNA,binomial_thinning,0.25,ADT,False,40,40,0.733425,0.20186474909071775,0.4655932074375592,2.7925823293509913,0.8287698849424713,0.06521412571620493,0.0,0.034482758620689655,5.712075710296631,18.4805908203125,0.6206982013893649
D5,0,RNA_thin_0.5,RNA,binomial_thinning,0.5,RNA,True,40,38,0.7361052631578947,0.257814953783311,0.5223709904700146,2.4380084062767184,0.8287618809404702,0.06868518916305712,0.0,0.034482758620689655,5.668482303619385,30.77037239074707,0.4365880675782409
D5,0,RNA_thin_0.5,RNA,binomial_thinning,0.5,ADT,False,40,38,0.7361052631578947,0.257814953783311,0.5223709904700146,2.4380084062767184,0.8287618809404702,0.06684893747384835,0.0,0.034482758620689655,5.71164608001709,17.75223159790039,0.563411932421759
D5,0,RNA_thin_0.75,RNA,binomial_thinning,0.75,RNA,True,40,37,0.591945945945946,0.189774310116322,0.4983888061928289,2.819890033365028,0.8602496248124062,0.08916910158193596,0.0,0.07142857142857142,5.671580314636231,29.715538024902344,0.4877037994572447
D5,0,RNA_thin_0.75,RNA,binomial_thinning,0.75,ADT,False,40,37,0.591945945945946,0.189774310116322,0.4983888061928289,2.819890033365028,0.8602496248124062,0.07040802898356022,0.0,0.034482758620689655,5.706408977508545,17.712810516357422,0.5122962005427554
D5,0,baseline_counts_p1,none,baseline_count_matrix,1.0,RNA,False,40,34,0.6829411764705883,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.6703972816467285,29.595020294189453,0.5176634461164118
D5,0,baseline_counts_p1,none,baseline_count_matrix,1.0,ADT,False,40,34,0.6829411764705883,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.700603008270264,18.88391494750977,0.4823365538835882
